id,name
02qjxwyd,New Engine No Prop Clipping/SD
02qo3wpk,Any% Glitchless (Classic)
5dw59edg,Second Quest
5dw9qn2g,Single Segment
5dwlwg2g,Second Quest Swordless
5dwv95kg,Warpless All-Stars
7dgrx7k4,Extreme Rules
7kj153k3,101%
7kjvmqxk,Another World Circuit
824p68g2,Second Quest Low%
824poew2,New Engine No Prop Clipping
824x05nd,New Engine
9d8p31lk,Old Engine
9kvjvqek,Single Segment High Score
jdr77526,Any% No Save Corruption
jdz597gd,Reverse Badge Order
l824pw25,Old Engine
mke069d6,Swordless
mke8vjk6,Any% All-Stars
mkeoge8d,Second Quest ACE
mkezv8k6,Second Quest No Up+A
n2y7472o,Any%
ndx8661k,Old Engine with Scripts
q25o0rwk,Any% All Keys
r02qjydy,New Engine
vdo93vdp,In-game time
vdoozydp,100%
w20p0zkn,Any%
w20w88dn,Any%
wdmw952q,Any% No Up+A
wdmz042q,Warpless
wk670qd1,Second Quest Extreme Rules
wk6oork1,Any% Glitchless
wkpo9g2r,100% No Up+A
xd1em828,Minus World Ending
xd1r0ozk,Catch 'Em All
xd1r4vrk,Low%
xd1r8e4k,Second Quest 100%
xk9038yk,RTA
xk98yv20,No Levels Early
z27g8lg2,Blindfolded RTA